1152,0,1
1162,0,1
1172,0,3
1182,1,1
1192,1,1
1202,0,2
1212,3,4
1222,1,4
1232,2,3
1242,5,2
1252,2,2
1262,3,1
1272,4,0
1282,1,0
1292,1,1
1302,0,2
1312,3,1
1322,1,0
1332,0,0
1342,0,0
1352,0,1
1362,1,1
1372,1,1
1382,0,0
1392,1,0
1402,0,0
1412,1,0
1422,0,0
1432,0,0
1442,1,0
1452,0,0
1462,0,1
1472,0,0
1482,0,0
1492,0,0
1502,0,0
1512,1,1
1522,0,0
1532,0,0
1542,0,0
1552,0,0
1562,0,0
1572,0,0
1582,0,0
1592,0,0
1602,0,0
1612,0,0
1622,0,0
1632,0,0
1642,1,0
1652,0,0
1662,0,0
1672,0,0
1682,0,1
1692,0,1
1702,0,0
1712,0,0
1722,0,0
1732,0,0
1742,0,0
1752,0,1
1762,0,0
1772,0,0
1782,0,0
1792,0,0
1802,0,0
1812,0,0
1822,0,0
1832,0,0
1842,0,1
1852,1,0
1862,0,0
1872,0,0
1882,0,0
1892,0,0
1902,0,0
1912,0,0
1922,0,1
1932,1,1
1942,0,0
1952,0,0
1962,0,0
1972,0,0
1982,0,0
1992,0,0
2002,0,0
2012,0,0
2022,0,0
2032,0,0
2042,0,0
2052,0,0
2062,0,0
2072,0,0
2082,0,0
2092,0,0
2102,0,0
2112,0,0
2122,0,0
2132,0,0
2142,0,0
2152,0,0
2162,0,0
2172,0,0
2182,0,0
2192,0,0
2202,0,0
2212,0,0
2222,0,0
2232,0,0
2242,0,0
2252,0,0
2262,0,0
2272,0,0
2282,0,0
2292,0,0
2302,0,0
2312,0,0
2322,0,0
2332,0,0
2342,0,0
2352,0,0
2362,0,0
2372,0,0
2382,0,0
2392,0,0
2402,0,0
2412,0,0
2422,0,0
2432,0,0
2442,0,0
2452,0,0
2462,0,0
2472,0,0
2482,0,0
2492,0,0
2502,0,0
2512,0,0
2522,0,0
2532,0,0
2542,0,0
2552,0,0
2562,0,0
2572,0,0
2582,0,0
2592,0,0
2602,0,0
2612,0,0
2622,0,0
2632,0,0
2642,0,0
2652,0,0
2662,0,0
2672,0,0
2682,0,0
2692,0,0
2702,0,0
2712,0,0
2722,0,0
2732,0,0
2742,0,0
2752,0,0
2762,0,0
2772,0,0
2782,0,0
2792,0,0
2802,0,0
2812,0,0
2822,0,0
2832,0,0
2842,0,0
2852,0,0
2862,0,0
2872,0,0
2882,0,0
2892,0,0
2902,0,0
2912,0,0
2922,0,0
2932,0,0
2942,0,0
2952,0,0
2962,0,0
2972,0,0
2982,0,0
2992,0,0
3002,0,0
3012,0,0
3022,0,0
3032,0,0
3042,0,0
3052,0,0
3062,0,0
3072,0,0
3082,0,0
3092,0,0
3102,0,0
3112,0,0
3122,0,0
3132,0,0
3142,0,0
3152,0,0
3162,0,0
3172,0,0
3182,0,0
3192,0,0
3202,0,0
3212,0,0
3222,0,0
3232,0,0
3242,0,0
3252,0,0
3262,0,0
3272,0,0
3282,0,0
3292,0,0
3302,0,0
3312,0,0
3322,0,0
3332,0,0
3342,0,0
3352,0,0
3362,0,0
3372,0,0
3382,0,0
3392,0,0
3402,0,0
3412,0,0
3422,0,0
3432,0,0
3442,0,0
3452,0,0
3462,0,0
3472,0,0
3482,0,0
3492,0,0
3502,0,0
3512,0,0
3522,0,0
3532,0,0
3542,0,0
3552,0,0
3562,0,0
3572,0,0
3582,0,0
3592,0,0
3602,0,0
3612,0,0
3622,0,0
3632,0,0
3642,0,0
3652,0,0
3662,0,0
3672,0,0
3682,0,0
3692,0,0
3702,0,0
3712,0,0
3722,0,0
3732,0,0
3742,0,0
